id,name,galaxy,type,period,ra,dec,magU,magB,magV,magR,magI,magJ,magH,magK,magu,magg,magr,magi,magz,magG,magW1,magW2,magW3,magW4
22050,OGLE-LMC-CEP-0674,LMC,DCEP,4.9530169,5 1 7.17,-70 21 56.60,,,15.336,,14.669,,,,,,,,,,,,,
22049,OGLE-LMC-CEP-0673,LMC,DCEP,3.2186333,5 1 6.47,-70 38 33.50,,,16.104,,15.369,,,,,,,,,,,,,
22025,OGLE-LMC-CEP-0638,LMC,DCEP,2.8932463,5 0 34.63,-66 59 6.80,,,15.974,,15.297,,,,,,,,,,,,,
22024,OGLE-LMC-CEP-0637,LMC,DCEP,2.606857,5 0 33.83,-67 36 19.00,,,16.277,,15.579,,,,,,,,,,,,,
22023,OGLE-LMC-CEP-0635,LMC,DCEP,1.5496554,5 0 33.41,-67 14 29.90,,,16.395,,15.746,,,,,,,,,,,,,
21992,OGLE-LMC-CEP-0594,LMC,DCEP,6.7331412,4 59 45.08,-69 29 35.50,,,15.227,,14.382,,,,,,,,,,,,,
22000,OGLE-LMC-CEP-0602,LMC,DCEP,1.6295912,4 59 54.90,-68 5 31.50,,,16.517,,15.826,,,,,,,,,,,,,
21999,OGLE-LMC-CEP-0601,LMC,DCEP,2.7924143,4 59 54.62,-67 45 12.70,,,15.967,,15.487,,,,,,,,,,,,,
21998,OGLE-LMC-CEP-0600,LMC,DCEP,3.2137959,4 59 53.63,-68 24 31.30,,,16.433,,15.59,,,,,,,,,,,,,
21997,OGLE-LMC-CEP-0599,LMC,DCEP,5.4310086,4 59 52.86,-70 16 37.20,,,15.34,,14.625,,,,,,,,,,,,,
21996,OGLE-LMC-CEP-0598,LMC,DCEP,0.8973315,4 59 51.63,-66 54 15.20,,,17.209,,16.56,,,,,,,,,,,,,
21995,OGLE-LMC-CEP-0597,LMC,DCEP,2.9448328,4 59 49.92,-69 20 44.20,,,16.214,,15.476,,,,,,,,,,,,,
21994,OGLE-LMC-CEP-0596,LMC,DCEP,3.0528258,4 59 49.42,-68 5 7.20,,,16.136,,15.42,,,,,,,,,,,,,
21993,OGLE-LMC-CEP-0595,LMC,DCEP,3.8810478,4 59 46.47,-69 11 40.50,,,16.121,,15.319,,,,,,,,,,,,,
21991,OGLE-LMC-CEP-0593,LMC,DCEP,2.0690647,4 59 42.85,-68 16 45.50,,,16.835,,16.12,,,,,,,,,,,,,
22022,OGLE-LMC-CEP-0634,LMC,DCEP,2.2098044,5 0 32.56,-70 6 9.10,,,15.673,,15.099,,,,,,,,,,,,,
21990,OGLE-LMC-CEP-0592,LMC,DCEP,4.1529014,4 59 42.06,-68 7 15.70,,,15.61,,14.908,,,,,,,,,,,,,
21989,OGLE-LMC-CEP-0591,LMC,DCEP,3.2694733,4 59 41.31,-67 44 17.10,,,15.852,,15.192,,,,,,,,,,,,,
21988,OGLE-LMC-CEP-0590,LMC,DCEP,31.7913167,4 59 41.15,-69 27 22.00,,,13.343,,12.411,,,,,,,,,,,,,
21987,OGLE-LMC-CEP-0589,LMC,DCEP,4.5931192,4 59 39.41,-67 25 49.00,,,15.739,,14.965,,,,,,,,,,,,,
21986,OGLE-LMC-CEP-0588,LMC,DCEP,3.2000526,4 59 37.18,-68 8 47.90,,,15.935,,15.261,,,,,,,,,,,,,
